P11,P12,P13,P21,P22,P23,P31,P32,P33,P41,P42,P43,R1,R2,R3,R4
-11602023.9489137008786201,14063117.4931115992367268,18811434.3112745992839336,-20853271.5736341997981071,1806977.2118581600952893,16542682.1237923000007868,-14355926.0172339994460344,8650961.8841098193079233,20736354.9805863983929157,7475239.6753052901476622,12966181.2771377004683018,21931576.7921750992536545,23568206.4173782989382744,26183921.4577450007200241,24652215.2627705000340939,25606982.9330466017127037
-11602700.4096150007098913,14060708.1637619994580746,18812823.4023028016090393,-20855049.9291185997426510,1805887.1306580700911582,16540582.4659656994044781,-14356344.1729805991053581,8648384.4768619798123837,20737164.3397033996880054,7472917.3215693095698953,12967714.4596338998526335,21931442.6029887981712818,23568427.7909861989319324,26184404.1127416007220745,24652621.9011856988072395,25606499.4748000986874104
-11603377.0261803008615971,14058298.6961425002664328,18814212.0761809013783932,-20856828.1167653985321522,1804797.2804981300141662,16538482.4609003998339176,-14356762.4791433997452259,8645806.9947465099394321,20737973.2627678997814655,7470595.0720982002094388,12969247.7736987993121147,21931307.9468086995184422,23568650.0894557014107704,26184884.7086125016212463,24653025.2764103002846241,25606016.6971120014786720
-11604053.7986267991364002,14055889.0902858991175890,18815600.3328956998884678,-20858606.1364935003221035,1803707.6613832199946046,16536382.1086646001785994,-14357180.9357223007827997,8643229.4378561992198229,20738781.7497542984783649,7468272.9269468197599053,12970781.2192928008735180,21931172.8236371017992496,23568869.5260895006358624,26185366.6481501981616020,24653428.8435873985290527,25605534.4603805989027023
-11604730.7269448004662991,14053479.3463228996843100,18816988.1723781004548073,-20860383.9882667995989323,1802618.2732910700142384,16534281.4092740993946791,-14357599.5427193008363247,8640651.8062730506062508,20739589.8006406985223293,7465950.8861416298896074,12972314.7963951993733644,21931037.2334740012884140,23569094.4420915991067886,26185845.7782028988003731,24653834.8537949994206429,25605048.9604584984481335
-11605407.8111640997231007,14051069.4642411991953850,18818375.5946411006152630,-20862161.6719904989004135,1801529.1162350000813603,16532180.3628132995218039,-14358018.3001422006636858,8638074.1000416092574596,20740397.4154165014624596,7463628.9497939096763730,12973848.5049293003976345,21930901.1763249002397060,23569315.4143446013331413,26186327.8049918003380299,24654241.1781065985560417,25604567.3344845995306969
-11606085.0512815993279219,14048659.4441480003297329,18819762.5996288992464542,-20863939.1876304000616074,1800440.1901911599561572,16530078.9692954998463392,-14358437.2079997994005680,8635496.3192011900246143,20741204.5940730981528759,7461307.1179005000740290,12975382.3448939993977547,21930764.6521883010864258,23569537.8873163014650345,26186808.2263608016073704,24654645.1117384992539883,25604081.9392636008560658
-11606762.4473100006580353,14046249.2860924992710352,18821149.1873193010687828,-20865716.5351110994815826,1799351.4951612299773842,16527977.2287824992090464,-14358856.2662888001650572,8632918.4638650994747877,20742011.3365787006914616,7458985.3905708203092217,12976916.3162136003375053,21930627.6610695011913776,23569760.0636343993246555,26187289.5027904994785786,24655052.4830632992088795,25603599.6850817985832691
-11607439.9992581997066736,14043838.9901378005743027,18822535.3576819002628326,-20867493.7143885008990765,1798263.0311275599524379,16525875.1412992998957634,-14359275.4750231001526117,8630340.5340407807379961,20742817.6429346017539501,7456663.7678293604403734,12978450.4188688006252050,21930490.2029686011373997,23569981.9083983004093170,26187768.8422459997236729,24655456.8704008981585503,25603116.4885880984365940
-11608117.7071295995265245,14041428.5563670992851257,18823921.1106748990714550,-20869270.7253601998090744,1797174.7981080398894846,16523772.7069393992424011,-14359694.8342019002884626,8627762.5298271290957928,20743623.5131133012473583,7454342.2497338298708200,12979984.6528181005269289,21930352.2778877988457680,23570205.8646384999155998,26188253.1899140998721123,24655862.4792538993060589,25602632.6115358993411064
